run;trial;from set;prime;target;sex;race;target position;r-k(ascii);file name target;file name distracter;seq;age
1;1;1;fam01;dis01;female;caucasian;left;157;Fam01_01_4_f.jpg;Dis01_for_Fam01_01_4_f.jpg;30;4
1;2;2;fam02;dis02;female;caucasian;right;29;Fam02_08_5_f.jpg;Dis01_for_Fam02_08_5_f.jpg;36;5
1;3;1;fam03;dis03;female;caucasian;left;157;Fam03_02_6_f.jpg;Dis01_for_Fam_03_02_6_f.jpg;3;6
1;4;2;fam04;dis04;female;caucasian;right;29;Fam04_01_7_f.jpg;Dis01_for_Fam04_01_7_f.jpg;25;7
1;5;1;fam05;dis05;female;caucasian;left;157;Fam05_05_8_f.jpg;Dis01_for_Fam05_05_8_f.jpg;42;8
1;6;2;fam06;dis06;female;caucasian;right;29;Fam06_03_9_f.jpg;Dis01_for_Fam06_03_9_f.jpg;10;9
1;7;1;fam07;dis07;female;caucasian;left;157;Fam07_011_10_f.jpg;Dis01_for_Fam07_011_10_f.jpg;17;10
1;8;2;fam08;dis08;female;caucasian;right;29;Fam08_02_11_f.jpg;Dis01_for_Fam08_02_11_f.jpg;29;11
1;9;1;fam09;dis09;female;caucasian;left;157;Fam09_01_12_f.jpg;Dis01_for_Fam09_01_12_f.jpg;20;12
1;10;2;fam10;dis10;female;caucasian;right;29;Fam10_01_13_f.jpg;Dis01_for_Fam10_01_13_f.jpg;33;13
1;11;1;fam11;dis11;female;caucasian;left;157;Fam11_04_14_f.jpg;Dis01_for_Fam11_04_14_f.jpg;21;14
1;12;2;fam12;dis12;female;caucasian;right;29;Fam12_08_15_f.jpg;Dis01_for_Fam12_08_15_f.jpg;14;15
1;13;1;fam13;dis13;female;caucasian;left;157;Fam13_03_16_f.jpg;Dis01_for_Fam13_03_16_f.jpg;45;16
1;14;2;fam14;dis14;female;caucasian;right;29;Fam14_04_17_f.jpg;Dis01_for_Fam14_04_17_f.jpg;8;17
1;15;1;fam15;dis15;female;caucasian;left;157;Fam15_01_18_f.jpg;Dis01_for_Fam15_01_18_f.jpg;26;18
1;16;3;fam16;dis16;female;caucasian;right;29;Fam16_03_4_f.jpg;Dis01_for_Fam16_03_4_f.jpg;33;4
1;17;4;fam17;dis17;female;caucasian;left;157;Fam17_010_5_f.jpg;Dis01_for_Fam17_010_5_f.jpg;3;5
1;18;3;fam18;dis18;female;caucasian;right;29;Fam18_010_6_f.jpg;Dis01_for_Fam18_010_6_f.jpg;34;6
1;19;4;fam19;dis19;female;caucasian;left;157;Fam19_03_7_f.jpg;Dis01_for_Fam19_03_7_f.jpg;22;7
1;20;3;fam20;dis20;female;caucasian;right;29;Fam20_07_8_f.jpg;Dis01_for_Fam20_07_8_f.jpg;16;8
1;21;4;fam21;dis21;female;caucasian;left;157;Fam21_014_9_f.jpg;Dis01_for_Fam21_014_9_f.jpg;43;9
1;22;3;fam22;dis22;female;caucasian;right;29;Fam22_013_10_f.jpg;Dis01_for_Fam22_013_10_f.jpg;35;10
1;23;4;fam23;dis23;female;caucasian;left;157;Fam23_07_11_f.jpg;Dis01_for_Fam23_07_11_f.jpg;14;11
1;24;3;fam24;dis24;female;caucasian;right;29;Fam24_07_12_f.jpg;Dis01_for_Fam24_07_12_f.jpg;12;12
1;25;4;fam25;dis25;female;caucasian;left;157;Fam25_010_13_f.jpg;Dis01_for_Fam25_010_13_f.jpg;38;13
1;26;3;fam26;dis26;female;caucasian;right;29;Fam26_012_14_f.jpg;Dis01_for_Fam26_012_14_f.jpg;13;14
1;27;4;fam27;dis27;female;caucasian;left;157;Fam27_011_15_f.jpg;Dis01_for_Fam27_011_15_f.jpg;42;15
1;28;3;fam28;dis28;female;caucasian;right;29;Fam28_09_16_f.jpg;Dis01_for_Fam28_09_16_f.jpg;7;16
1;29;4;fam29;dis29;female;caucasian;left;157;Fam29_011_17_f.jpg;Dis01_for_Fam29_011_17_f.jpg;29;17
1;30;3;fam30;dis30;female;caucasian;right;29;Fam30_02_18_f.jpg;Dis01_for_Fam30_02_18_f.jpg;3;18
1;31;2;m01;dis31;male;caucasian;left;157;Fam31_06_4_m.jpg;Dis01_for_Fam31_06_4_m.jpg;41;4
1;32;1;m02;dis32;male;caucasian;right;29;Fam32_013_5_m.jpg;Dis01_for_Fam32_013_5_m.jpg;38;5
1;33;2;m03;dis33;male;caucasian;left;157;Fam33_03_6_m.jpg;Dis01_for_Fam33_03_6_m.jpg;23;6
1;34;1;m04;dis34;male;caucasian;right;29;Fam34_010_7_m.jpg;Dis01_for_Fam34_010_7_m.jpg;29;7
1;35;2;m05;dis35;male;caucasian;left;157;Fam35_07_8_m.jpg;Dis01_for_Fam35_07_8_m.jpg;9;8
1;36;1;m06;dis36;male;caucasian;right;29;Fam36_02_9_m.jpg;Dis01_for_Fam36_02_9_m.jpg;1;9
1;37;2;m07;dis37;male;caucasian;left;157;Fam37_010_10_m.jpg;Dis01_for_Fam37_010_10_m.jpg;2;10
1;38;1;m08;dis38;male;caucasian;right;29;Fam38_02_11_m.jpg;Dis01_for_Fam38_02_11_m.jpg;7;11
1;39;2;m09;dis39;male;caucasian;left;157;Fam39_03_12_m.jpg;Dis01_for_Fam39_03_12_m.jpg;28;12
1;40;1;m10;dis40;male;caucasian;right;29;Fam40_010_13_m.jpg;Dis01_for_Fam40_010_13_m.jpg;39;13
1;41;2;m11;dis41;male;caucasian;left;157;Fam41_01_14_m.jpg;Dis01_for_Fam41_01_14_m.jpg;11;14
1;42;1;m12;dis42;male;caucasian;right;29;Fam42_03_15_m.jpg;Dis01_for_Fam42_03_15_m.jpg;11;15
1;43;2;m13;dis43;male;caucasian;left;157;Fam43_05_16_m.jpg;Dis01_for_Fam43_05_16_m.jpg;40;16
1;44;1;m14;dis44;male;caucasian;right;29;Fam44_06_17_m.jpg;Dis01_for_Fam44_06_17_m.jpg;33;17
1;45;2;m15;dis45;male;caucasian;left;157;Fam45_06_18_m.jpg;Dis01_for_Fam45_06_18_m.jpg;4;18
1;46;4;m16;dis46;male;caucasian;right;29;Fam46_015_4_m.jpg;Dis01_for_Fam46_015_4_m.jpg;7;4
1;47;3;m17;dis47;male;caucasian;left;157;Fam47_016_5_m.jpg;Dis01_for_Fam47_016_5_m.jpg;2;5
1;48;4;m18;dis48;male;caucasian;right;29;Fam48_010_6_m.jpg;Dis01_for_Fam48_010_6_m.jpg;26;6
1;49;3;m19;dis49;male;caucasian;left;157;Fam49_012_7_m.jpg;Dis01_for_Fam49_012_7_m.jpg;37;7
1;50;4;m20;dis50;male;caucasian;right;29;Fam50_010_8_m.jpg;Dis01_for_Fam50_010_8_m.jpg;41;8
1;51;3;m21;dis51;male;caucasian;left;157;Fam51_015_9_m.jpg;Dis01_for_Fam51_015_9_m.jpg;8;9
1;52;4;m22;dis52;male;caucasian;right;29;Fam52_015_10_m.jpg;Dis01_for_Fam52_015_10_m.jpg;16;10
1;53;3;m23;dis53;male;caucasian;left;157;Fam53_010_11_m.jpg;Dis01_for_Fam53_010_11_m.jpg;25;11
1;54;4;m24;dis54;male;caucasian;right;29;Fam54_012_12_m.jpg;Dis01_for_Fam54_012_12_m.jpg;36;12
1;55;3;m25;dis55;male;caucasian;left;157;Fam55_013_13_m.jpg;Dis01_for_Fam55_013_13_m.jpg;39;13
1;56;4;m26;dis56;male;caucasian;right;29;Fam56_09_14_m.jpg;Dis01_for_Fam56_09_14_m.jpg;10;14
1;57;3;m27;dis57;male;caucasian;left;157;Fam57_04_15_m.jpg;Dis01_for_Fam57_04_15_m.jpg;5;15
1;58;4;m28;dis58;male;caucasian;right;29;Fam58_010_16_m.jpg;Dis01_for_Fam58_010_16_m.jpg;9;16
1;59;3;m29;dis59;male;caucasian;left;157;Fam59_010_17_m.jpg;Dis01_for_Fam59_010_17_m.jpg;41;17
1;60;4;m30;dis60;male;caucasian;right;29;Fam60_010_18_m.jpg;Dis01_for_Fam60_010_18_m.jpg;12;18
2;61;1;fam01;dis61;female;caucasian;right;157;Fam01_01_4_f.jpg;Dis02_for_Fam01_01_4_f.jpg;44;4
2;62;2;fam02;dis62;female;caucasian;left;29;Fam02_08_5_f.jpg;Dis02_for_Fam02_08_5_f.jpg;13;5
2;63;1;fam03;dis63;female;caucasian;right;157;Fam_03_02_6_f.jpg;Dis02_for_Fam_03_02_6_f.jpg;18;6
2;64;2;fam04;dis64;female;caucasian;left;29;Fam04_01_7_f.jpg;Dis02_for_Fam04_01_7_f.jpg;21;7
2;65;1;fam05;dis65;female;caucasian;right;157;Fam05_05_8_f.jpg;Dis02_for_Fam05_05_8_f.jpg;31;8
2;66;2;fam06;dis66;female;caucasian;left;29;Fam06_03_9_f.jpg;Dis02_for_Fam06_03_9_f.jpg;26;9
2;67;1;fam07;dis67;female;caucasian;right;157;Fam07_011_10_f.jpg;Dis02_for_Fam07_011_10_f.jpg;15;10
