###Block;Trial;Gleich;Stim1_1;Stim1_2;Stim1_3;Stim2_1;Stim2_2;Stim2_3
VS_1;999;0;6;1;5;4;1;5
VS_1;999;1;3;7;3;3;7;3
VS_1;1;1;5;6;1;5;6;1
VS_1;2;1;7;0;8;7;0;8
VS_1;3;1;2;3;7;2;3;7
VS_1;4;0;4;8;9;4;8;8
VS_1;5;0;1;5;4;2;5;4
VS_1;6;1;9;4;5;9;4;5
VS_1;7;1;8;9;9;8;9;9
VS_1;8;1;3;2;3;3;2;3
VS_1;9;0;4;8;2;4;8;5
VS_1;10;0;7;1;6;7;6;6
VS_1;11;0;5;9;1;9;9;1
VS_1;12;1;6;4;8;6;4;8
VS_1;13;0;8;6;0;8;2;0
VS_1;14;0;1;0;7;1;2;7
VS_1;15;1;9;5;1;9;5;1
VS_1;16;0;2;2;3;2;2;9
VS_1;17;1;3;7;5;3;7;5
VS_1;18;1;7;3;0;7;3;0
VS_1;19;1;4;7;7;4;7;7
VS_1;20;1;5;3;8;5;3;8
VS_1;21;0;8;8;4;8;8;1
VS_1;22;0;6;9;2;9;9;2
VS_1;23;1;1;0;9;1;0;9
VS_1;24;1;2;5;6;2;5;6
VS_1;25;0;9;6;4;3;6;4
VS_1;26;1;9;4;9;9;4;9
VS_1;27;1;1;2;0;1;2;0
VS_1;28;1;3;1;2;3;1;2
VS_1;29;0;7;4;8;7;4;2
VS_1;30;1;4;3;7;4;3;7
VS_1;31;0;6;6;3;6;6;8
VS_1;32;0;2;8;6;2;1;6
VS_1;33;0;8;2;5;8;3;5
VS_1;34;1;5;9;1;5;9;1
VS_1;35;1;2;7;2;2;7;2
VS_1;36;1;3;1;9;3;1;9
VS_1;37;0;6;5;6;6;7;6
VS_1;38;0;1;0;4;5;0;4
VS_1;39;0;7;1;1;4;1;1
VS_1;40;0;5;7;0;5;7;8
VS_2;999;1;2;3;8;2;3;8
VS_2;999;0;7;8;5;7;6;5
