run;trial;from set;prime;target;sex;race;target position;r-k(ascii);file name target ;file name distracter;seq;HTyp
1;1;1;haus01;dis01;0;0;left;157;Fam01_021_1.jpg;Dis01_for_Fam01_021_1.jpg;30;1
1;2;1;haus02;dis02;0;0;right;29;Fam02_022_1.jpg;Dis01_for_Fam02_022_1.jpg;36;1
1;3;1;haus03;dis03;0;0;left;157;Fam03_023_1.jpg;Dis01_for_Fam03_023_1.jpg;3;1
1;4;2;haus04;dis04;0;0;right;29;Fam04_024_1.jpg;Dis01_for_Fam04_024_1.jpg;25;1
1;5;2;haus05;dis05;0;0;left;157;Fam05_025_1.jpg;Dis01_for_Fam05_025_1.jpg;42;1
1;6;2;haus06;dis06;0;0;right;29;Fam06_026_1.jpg;Dis01_for_Fam06_026_1.jpg;10;1
1;7;3;haus07;dis07;0;0;left;157;Fam07_027_1.jpg;Dis01_for_Fam07_027_1.jpg;17;1
1;8;3;haus08;dis08;0;0;right;29;Fam08_028_1.jpg;Dis01_for_Fam08_028_1.jpg;29;1
1;9;3;haus09;dis09;0;0;left;157;Fam09_029_1.jpg;Dis01_for_Fam09_029_1.jpg;20;1
1;10;4;haus10;dis10;0;0;right;29;Fam10_030_1.jpg;Dis01_for_Fam10_030_1.jpg;33;1
1;11;4;haus11;dis11;0;0;left;157;Fam11_063_1.jpg;Dis01_for_Fam11_063_1.jpg;21;1
1;12;4;haus12;dis12;0;0;right;29;Fam12_064_1.jpg;Dis01_for_Fam12_064_1.jpg;14;1
1;13;1;haus01;dis13;0;0;left;157;Fam13_021_2.jpg;Dis01_for_Fam13_021_2.jpg;45;2
1;14;1;haus02;dis14;0;0;right;29;Fam14_022_2.jpg;Dis01_for_Fam14_022_2.jpg;8;2
1;15;1;haus03;dis15;0;0;left;157;Fam15_023_2.jpg;Dis01_for_Fam15_023_2.jpg;26;2
1;16;2;haus04;dis16;0;0;right;29;Fam16_024_2.jpg;Dis01_for_Fam16_024_2.jpg;33;2
1;17;2;hauso5;dis17;0;0;left;157;Fam17_025_2.jpg;Dis01_for_Fam17_025_2.jpg;3;2
1;18;2;haus06;dis18;0;0;right;29;Fam18_026_2.jpg;Dis01_for_Fam18_026_2.jpg;34;2
1;19;3;haus07;dis19;0;0;left;157;Fam19_027_2.jpg;Dis01_for_Fam19_027_2.jpg;22;2
1;20;3;haus08;dis20;0;0;right;29;Fam20_028_2.jpg;Dis01_for_Fam20_028_2.jpg;16;2
1;21;3;haus09;dis21;0;0;left;157;Fam21_029_2.jpg;Dis01_for_Fam21_029_2.jpg;43;2
1;22;4;haus10;dis22;0;0;right;29;Fam22_030_2.jpg;Dis01_for_Fam22_030_2.jpg;35;2
1;23;4;haus11;dis23;0;0;left;157;Fam23_084_2.jpg;Dis01_for_Fam23_084_2.jpg;14;2
1;24;4;haus12;dis24;0;0;right;29;Fam24_088_2.jpg;Dis01_for_Fam24_088_2.jpg;12;2
1;25;1;haus01;dis25;0;0;left;157;Fam25_021_3.jpg;Dis01_for_Fam25_021_3.jpg;38;3
1;26;1;haus02;dis26;0;0;right;29;Fam26_022_3.jpg;Dis01_for_Fam26_022_3.jpg;13;3
1;27;1;haus03;dis27;0;0;left;157;Fam27_023_3.jpg;Dis01_for_Fam27_023_3.jpg;42;3
1;28;2;haus04;dis28;0;0;right;29;Fam28_024_3.jpg;Dis01_for_Fam28_024_3.jpg;7;3
1;29;2;haus05;dis29;0;0;left;157;Fam29_025_3.jpg;Dis01_for_Fam29_025_3.jpg;29;3
1;30;2;haus06;dis30;0;0;right;29;Fam30_026_3.jpg;Dis01_for_Fam30_026_3.jpg;3;3
1;31;3;haus07;dis31;0;0;left;157;Fam31_027_3.jpg;Dis01_for_Fam31_027_3.jpg;41;3
1;32;3;haus08;dis32;0;0;right;29;Fam32_028_3.jpg;Dis01_for_Fam32_028_3.jpg;38;3
1;33;3;haus09;dis33;0;0;left;157;Fam33_029_3.jpg;Dis01_for_Fam33_029_3.jpg;23;3
1;34;4;haus10;dis34;0;0;right;29;Fam34_030_3.jpg;Dis01_for_Fam34_030_3.jpg;29;3
1;35;4;haus11;dis35;0;0;left;157;Fam35_074_3.jpg;Dis01_for_Fam35_074_3.jpg;9;3
1;36;4;haus12;dis36;0;0;right;29;Fam36_082_3.jpg;Dis01_for_Fam36_082_3.jpg;1;3
1;37;1;haus01;dis37;0;0;left;157;Fam37_02_4.jpg;Dis01_for_Fam37_02_4.jpg;2;4
1;38;1;haus02;dis38;0;0;right;29;Fam38_07_4.jpg;Dis01_for_Fam38_07_4.jpg;7;4
1;39;1;haus03;dis39;0;0;left;157;Fam39_017_4.jpg;Dis01_for_Fam39_017_4.jpg;28;4
1;40;2;haus04;dis40;0;0;right;29;Fam40_023_4.jpg;Dis01_for_Fam40_023_4.jpg;39;4
1;41;2;hauso5;dis41;0;0;left;157;Fam41_028_4.jpg;Dis01_for_Fam41_028_4.jpg;11;4
1;42;2;haus06;dis42;0;0;right;29;Fam42_043_4.jpg;Dis01_for_Fam42_043_4.jpg;11;4
1;43;3;haus07;dis43;0;0;left;157;Fam43_054_4.jpg;Dis01_for_Fam43_054_4.jpg;40;4
1;44;3;haus08;dis44;0;0;right;29;Fam44_060_4.jpg;Dis01_for_Fam44_060_4.jpg;33;4
1;45;3;haus09;dis45;0;0;left;157;Fam45_066_4.jpg;Dis01_for_Fam45_066_4.jpg;4;4
1;46;4;haus10;dis46;0;0;right;29;Fam46_080_4.jpg;Dis01_for_Fam46_080_4.jpg;7;4
1;47;4;haus11;dis47;0;0;left;157;Fam47_086_4.jpg;Dis01_for_Fam47_086_4.jpg;2;4
1;48;4;haus12;dis48;0;0;right;29;Fam48_088_4.jpg;Dis01_for_Fam48_088_4.jpg;26;4
1;49;1;haus01;dis49;0;0;left;157;Fam49_03_5.jpg;Dis01_for_Fam49_03_5.jpg;37;5
1;50;1;haus02;dis50;0;0;right;29;Fam50_010_5.jpg;Dis01_for_Fam50_010_5.jpg;41;5
1;51;1;haus03;dis51;0;0;left;157;Fam51_014_5.jpg;Dis01_for_Fam51_014_5.jpg;8;5
1;52;2;haus04;dis52;0;0;right;29;Fam52_016_5.jpg;Dis01_for_Fam52_016_5.jpg;16;5
1;53;2;hauso5;dis53;0;0;left;157;Fam53_017_5.jpg;Dis01_for_Fam53_017_5.jpg;25;5
1;54;2;haus06;dis54;0;0;right;29;Fam54_029_5.jpg;Dis01_for_Fam54_029_5.jpg;36;5
1;55;3;haus07;dis55;0;0;left;157;Fam55_039_5.jpg;Dis01_for_Fam55_039_5.jpg;39;5
1;56;3;haus08;dis56;0;0;right;29;Fam56_052_5.jpg;Dis01_for_Fam56_052_5.jpg;10;5
1;57;3;haus09;dis57;0;0;left;157;Fam57_059_5.jpg;Dis01_for_Fam57_059_5.jpg;5;5
1;58;4;haus10;dis58;0;0;right;29;Fam58_066_5.jpg;Dis01_for_Fam58_066_5.jpg;9;5
1;59;4;haus11;dis59;0;0;left;157;Fam59_079_5.jpg;Dis01_for_Fam59_079_5.jpg;41;5
1;60;4;haus12;dis60;0;0;right;29;Fam60_084_5.jpg;Dis01_for_Fam60_084_5.jpg;12;5
2;61;1;haus01;dis61;0;0;right;157;Fam01_021_1.jpg;Dis02_for_Fam01_021_1.jpg;44;1
2;62;1;haus02;dis62;0;0;left;29;Fam02_022_1.jpg;Dis02_for_Fam02_022_1.jpg;13;1
2;63;1;haus03;dis63;0;0;right;157;Fam03_023_1.jpg;Dis02_for_Fam03_023_1.jpg;18;1
2;64;2;haus04;dis64;0;0;left;29;Fam04_024_1.jpg;Dis02_for_Fam04_024_1.jpg;21;1
2;65;2;haus05;dis65;0;0;right;157;Fam05_025_1.jpg;Dis02_for_Fam05_025_1.jpg;31;1
2;66;2;haus06;dis66;0;0;left;29;Fam06_026_1.jpg;Dis02_for_Fam06_026_1.jpg;26;1
2;67;3;haus07;dis67;0;0;right;157;Fam07_027_1.jpg;Dis02_for_Fam07_027_1.jpg;15;1
2;68;3;haus08;dis68;0;0;left;29;Fam08_028_1.jpg;Dis02_for_Fam08_028_1.jpg;34;1
