###Block;Trial;Gleich;Stim1_1;Stim1_2;Stim1_3;Stim2_1;Stim2_2;Stim2_3
VZ_1;999;1;3;6;1;3;6;1
VZ_1;999;0;2;2;4;2;9;4
VZ_1;1;1;7;4;9;7;4;9
VZ_1;2;0;6;5;6;7;5;6
VZ_1;3;1;4;7;2;4;7;2
VZ_1;4;0;8;1;3;8;1;2
VZ_1;5;0;5;3;1;5;1;1
VZ_1;6;1;1;8;3;1;8;3
VZ_1;7;0;9;0;5;9;0;9
VZ_1;8;1;1;9;9;1;9;9
VZ_1;9;0;5;7;8;5;7;6
VZ_1;10;1;2;2;2;2;2;2
VZ_1;11;1;6;3;6;6;3;6
VZ_1;12;0;3;5;4;4;5;4
VZ_1;13;0;7;4;0;7;3;0
VZ_1;14;1;8;1;7;8;1;7
VZ_1;15;0;4;6;7;2;6;7
VZ_1;16;1;9;9;3;9;9;3
VZ_1;17;0;8;0;8;2;0;8
VZ_1;18;0;9;8;2;9;8;9
VZ_1;19;0;7;6;5;7;4;5
VZ_1;20;1;4;5;0;4;5;0
VZ_1;21;1;2;9;1;2;9;1
VZ_1;22;1;1;3;6;1;3;6
VZ_1;23;0;5;4;4;5;9;4
VZ_1;24;0;3;7;9;3;3;9
VZ_1;25;1;6;8;9;6;8;9
VZ_1;26;1;9;2;0;9;2;0
VZ_1;27;1;3;1;1;3;1;1
VZ_1;28;1;6;0;7;6;0;7
VZ_1;29;0;5;9;4;2;9;4
VZ_1;30;0;4;4;8;8;4;8
VZ_1;31;0;7;3;6;7;3;5
VZ_1;32;0;8;7;3;8;7;0
VZ_1;33;0;1;5;5;3;5;5
VZ_1;34;1;2;0;2;2;0;2
VZ_1;35;1;7;8;9;7;8;9
VZ_1;36;1;8;1;3;8;1;3
VZ_1;37;1;6;2;8;6;2;8
VZ_1;38;0;2;6;2;6;6;2
VZ_1;39;1;3;9;6;3;9;6
VZ_1;40;0;4;1;1;4;4;1
