###Block;Trial;Gleich;Stim1_1;Stim1_2;Stim1_3;Stim2_1;Stim2_2;Stim2_3
VZ_3;999;0;9;2;3;9;2;9
VZ_3;999;1;1;1;4;1;1;4
VZ_3;1;0;5;9;5;6;9;5
VZ_3;2;0;7;6;8;7;6;9
VZ_3;3;1;4;7;0;4;7;0
VZ_3;4;1;3;0;2;3;0;2
VZ_3;5;0;6;4;4;7;4;4
VZ_3;6;0;8;5;2;8;5;8
VZ_3;7;1;2;3;6;2;3;6
VZ_3;8;1;1;8;0;1;8;0
VZ_3;9;0;8;4;1;8;1;1
VZ_3;10;0;4;5;7;1;5;7
VZ_3;11;1;3;9;8;3;9;8
VZ_3;12;0;5;3;3;5;9;3
VZ_3;13;0;9;8;5;9;0;5
VZ_3;14;0;6;6;9;6;6;2
VZ_3;15;1;7;2;0;7;2;0
VZ_3;16;0;2;0;6;2;0;7
VZ_3;17;1;8;1;9;8;1;9
VZ_3;18;1;1;7;4;1;7;4
VZ_3;19;1;3;8;8;3;8;8
VZ_3;20;0;7;7;2;9;7;2
VZ_3;21;1;5;2;5;5;2;5
VZ_3;22;0;6;3;1;6;3;8
VZ_3;23;1;2;5;3;2;5;3
VZ_3;24;1;4;0;7;4;0;7
VZ_3;25;1;9;4;9;9;4;9
VZ_3;26;0;4;9;2;4;0;2
VZ_3;27;0;9;1;4;5;1;4
VZ_3;28;1;2;6;8;2;6;8
VZ_3;29;0;8;8;1;5;8;1
VZ_3;30;0;1;0;0;1;5;0
VZ_3;31;0;5;5;6;5;6;6
VZ_3;32;1;7;1;7;7;1;7
VZ_3;33;0;3;7;3;3;4;3
VZ_3;34;1;6;9;5;6;9;5
VZ_3;35;0;7;2;8;5;2;8
VZ_3;36;1;4;3;0;4;3;0
VZ_3;37;1;5;4;6;5;4;6
VZ_3;38;1;3;6;5;3;6;5
VZ_3;39;0;6;3;7;6;3;9
VZ_3;40;1;9;2;2;9;2;2
