###Block;Trial;Gleich;Stim1_1;Stim1_2;Stim1_3;Stim2_1;Stim2_2;Stim2_3
VS_3;999;0;8;9;9;8;3;9
VS_3;999;1;1;6;2;1;6;2
VS_3;1;1;5;7;4;5;7;4
VS_3;2;0;6;1;6;3;1;6
VS_3;3;1;9;4;0;9;4;0
VS_3;4;1;2;3;8;2;3;8
VS_3;5;0;4;5;2;4;2;2
VS_3;6;1;7;0;3;7;0;3
VS_3;7;1;3;2;1;3;2;1
VS_3;8;1;9;8;5;9;8;5
VS_3;9;0;2;3;6;2;3;4
VS_3;10;0;6;4;0;4;4;0
VS_3;11;1;8;0;8;8;0;8
VS_3;12;1;1;8;7;1;8;7
VS_3;13;0;7;9;9;7;9;6
VS_3;14;1;3;1;4;3;1;4
VS_3;15;0;4;5;5;4;3;5
VS_3;16;1;5;6;7;5;6;7
VS_3;17;1;5;2;9;5;2;9
VS_3;18;0;6;7;1;8;7;1
VS_3;19;1;8;2;3;8;2;3
VS_3;20;1;3;5;8;3;5;8
VS_3;21;0;4;9;6;4;9;3
VS_3;22;1;7;3;0;7;3;0
VS_3;23;0;2;1;2;2;1;4
VS_3;24;1;9;8;4;9;8;4
VS_3;25;0;1;4;4;1;2;4
VS_3;26;0;9;7;6;9;7;4
VS_3;27;0;2;0;3;2;9;3
VS_3;28;1;3;6;5;3;6;5
VS_3;29;0;7;0;7;6;0;7
VS_3;30;0;6;4;9;6;4;4
VS_3;31;1;4;3;2;4;3;2
VS_3;32;0;5;9;0;5;0;0
VS_3;33;0;8;7;8;6;7;8
VS_3;34;1;1;5;1;1;5;1
VS_3;35;0;9;2;6;7;2;6
VS_3;36;0;7;8;8;6;8;8
VS_3;37;1;6;6;0;6;6;0
VS_3;38;0;5;1;7;5;8;7
VS_3;39;1;1;6;1;1;6;1
VS_3;40;0;4;8;3;8;8;3
