###Block;Trial;Target;Stimulus
SZ_1;999;0;1
SZ_1;999;0;7
SZ_1;1;0;1
SZ_1;2;0;0
SZ_1;3;0;5
SZ_1;4;0;7
SZ_1;5;0;4
SZ_1;6;1;3
SZ_1;7;0;9
SZ_1;8;0;8
SZ_1;9;0;2
SZ_1;10;0;6
SZ_1;11;1;3
SZ_1;12;0;4
SZ_1;13;0;7
SZ_1;14;0;5
SZ_1;15;0;0
SZ_1;16;0;8
SZ_1;17;1;3
SZ_1;18;0;1
SZ_1;19;0;6
SZ_1;20;0;9
SZ_1;21;0;2
SZ_1;22;1;3
SZ_1;23;1;3
SZ_1;24;0;7
SZ_1;25;1;3
SZ_1;26;0;8
SZ_1;27;0;2
SZ_1;28;0;6
SZ_1;29;0;1
SZ_1;30;1;3
SZ_1;31;0;4
SZ_1;32;0;5
SZ_1;33;0;9
SZ_1;34;0;0
SZ_1;35;1;3
SZ_1;36;0;0
SZ_1;37;0;4
SZ_1;38;0;9
SZ_1;39;0;5
SZ_1;40;0;7
SZ_2;999;0;4
SZ_2;999;0;9
SZ_2;69;0;2
SZ_2;70;0;4
SZ_2;71;1;3
SZ_2;72;0;5
SZ_2;73;0;7
SZ_2;74;0;8
SZ_2;75;1;3
SZ_2;76;0;1
SZ_2;77;0;9
SZ_2;78;0;0
SZ_2;79;0;6
SZ_2;80;0;0
SZ_2;81;0;1
SZ_2;82;0;4
SZ_2;83;0;9
SZ_2;84;0;6
SZ_2;85;0;2
SZ_2;86;0;5
SZ_2;87;1;3
SZ_2;88;1;3
SZ_2;89;0;7
SZ_2;90;0;8
SZ_2;91;0;8
SZ_2;92;0;0
SZ_2;93;0;4
SZ_2;94;0;9
SZ_2;95;0;7
SZ_2;96;1;3
SZ_2;97;0;2
SZ_2;98;0;6
SZ_2;99;0;1
SZ_2;100;1;3
SZ_2;101;0;5
SZ_2;102;0;7
SZ_2;103;0;2
SZ_2;104;0;5
SZ_2;105;0;1
SZ_2;106;0;9
SZ_2;107;1;3
SZ_2;108;0;6
