###Block;Trial;Target;Stimulus
SS_1;999;0;3
SS_1;999;0;2
SS_1;1;0;3
SS_1;2;1;1
SS_1;3;0;2
SS_1;4;0;3
SS_1;5;0;3
SS_1;6;0;3
SS_1;7;1;1
SS_1;8;1;1
SS_1;9;1;1
SS_1;10;0;2
SS_1;11;1;1
SS_1;12;0;3
SS_1;13;1;1
SS_1;14;0;3
SS_1;15;1;1
SS_1;16;0;2
SS_1;17;0;2
SS_1;18;1;1
SS_1;19;0;2
SS_1;20;0;2
SS_1;21;0;3
SS_1;22;1;1
SS_1;23;0;2
SS_1;24;0;3
SS_1;25;0;2
SS_1;26;0;2
SS_1;27;0;3
SS_1;28;1;1
SS_1;29;0;3
SS_1;30;1;1
SS_1;31;1;1
SS_1;32;0;2
SS_1;33;0;3
SS_1;34;0;2
SS_1;35;1;1
SS_1;36;0;3
SS_1;37;1;1
SS_1;38;1;1
SS_1;39;1;1
SS_1;40;0;2
SS_2;999;0;2
SS_2;999;0;3
SS_2;61;1;1
SS_2;62;1;1
SS_2;63;0;2
SS_2;64;0;3
SS_2;65;0;3
SS_2;66;0;3
SS_2;67;0;3
SS_2;68;1;1
SS_2;69;1;1
SS_2;70;1;1
SS_2;71;0;3
SS_2;72;0;2
SS_2;73;0;3
SS_2;74;0;2
SS_2;75;0;2
SS_2;76;0;2
SS_2;77;1;1
SS_2;78;1;1
SS_2;79;0;2
SS_2;80;1;1
SS_2;81;0;2
SS_2;82;0;2
SS_2;83;0;3
SS_2;84;0;3
SS_2;85;1;1
SS_2;86;0;3
SS_2;87;1;1
SS_2;88;0;2
SS_2;89;1;1
SS_2;90;0;3
SS_2;91;0;3
SS_2;92;0;2
SS_2;93;1;1
SS_2;94;0;2
SS_2;95;1;1
SS_2;96;1;1
SS_2;97;0;2
SS_2;98;1;1
SS_2;99;1;1
SS_2;100;0;3
