###run#;trial #;from set #;prime;target;sex;race;target position;r-k(ascii);file name target;file name distracter;seq
1;1;1;fem_fam01;dis01;Female;caucasian;left;29;ac01t.jpg;ac01d.jpg;9
1;2;1;fem_fam02;dis02;Female;caucasian;right;157;ac02t.jpg;ac02d.jpg;29
1;3;1;fem_fam03;dis03;Female;caucasian;left;29;ac03t.jpg;ac03d.jpg;22
1;4;1;fem_fam04;dis04;Female;caucasian;right;157;ac04t.jpg;ac04d.jpg;12
1;5;1;fem_fam05;dis05;Female;caucasian;left;29;ac05t.jpg;ac05d.jpg;8
1;6;1;fem_fam06;dis06;Female;caucasian;right;157;ac06t.jpg;ac06d.jpg;30
1;7;1;fem_fam07;dis07;Female;caucasian;left;29;ac07t.jpg;ac07d.jpg;4
1;8;2;fem_fam08;dis08;Female;caucasian;right;157;ac08t.jpg;ac08d.jpg;18
1;9;2;fem_fam09;dis09;Female;caucasian;left;29;ac09t.jpg;ac09d.jpg;27
1;10;2;fem_fam10;dis10;Female;caucasian;right;157;ac10t.jpg;ac10d.jpg;16
1;11;2;fem_fam11;dis11;Female;caucasian;left;29;ac11t.jpg;ac11d.jpg;7
1;12;2;fem_fam12;dis12;Female;caucasian;right;157;ac12t.jpg;ac12d.jpg;17
1;13;2;fem_fam13;dis13;Female;caucasian;left;29;ac13t.jpg;ac13d.jpg;25
1;14;2;fem_fam14;dis14;Female;caucasian;right;157;ac14t.jpg;ac14d.jpg;1
1;15;2;fem_fam15;dis15;Female;caucasian;left;29;ac15t.jpg;ac15d.jpg;20
1;16;1;mal_fam01;dis16;Male;caucasian;right;157;ac16t.jpg;ac16d.jpg;24
1;17;1;mal_fam02;dis17;Male;caucasian;left;29;ac17t.jpg;ac17d.jpg;11
1;18;1;mal_fam03;dis18;Male;caucasian;right;157;ac18t.jpg;ac18d.jpg;26
1;19;1;mal_fam04;dis19;Male;caucasian;left;29;ac19t.jpg;ac19d.jpg;13
1;20;1;mal_fam05;dis20;Male;caucasian;right;157;ac20t.jpg;ac20d.jpg;5
1;21;1;mal_fam06;dis21;Male;caucasian;left;29;ac21t.jpg;ac21d.jpg;2
1;22;1;mal_fam07;dis22;Male;caucasian;right;157;ac22t.jpg;ac22d.jpg;14
1;23;1;mal_fam08;dis23;Male;caucasian;left;29;ac23t.jpg;ac23d.jpg;23
1;24;2;mal_fam09;dis24;Male;caucasian;right;157;ac24t.jpg;ac24d.jpg;28
1;25;2;mal_fam10;dis25;Male;caucasian;left;29;ac25t.jpg;ac25d.jpg;3
1;26;2;mal_fam11;dis26;Male;caucasian;right;157;ac26t.jpg;ac26d.jpg;15
1;27;2;mal_fam12;dis27;Male;caucasian;left;29;ac27t.jpg;ac27d.jpg;19
1;28;2;mal_fam13;dis28;Male;caucasian;right;157;ac28t.jpg;ac28d.jpg;6
1;29;2;mal_fam14;dis29;Male;caucasian;left;29;ac29t.jpg;ac29d.jpg;10
1;30;2;mal_fam15;dis30;Male;caucasian;right;157;ac30t.jpg;ac30d.jpg;21
2;31;1;fem_fam01;dis31;Female;caucasian;left;29;ac01t.jpg;ac31d.jpg;15
2;32;1;fem_fam02;dis32;Female;caucasian;left;29;ac02t.jpg;ac32d.jpg;26
2;33;1;fem_fam03;dis33;Female;caucasian;right;157;ac03t.jpg;ac33d.jpg;30
2;34;1;fem_fam04;dis34;Female;caucasian;right;157;ac04t.jpg;ac34d.jpg;8
2;35;1;fem_fam05;dis35;Female;caucasian;left;29;ac05t.jpg;ac35d.jpg;1
2;36;1;fem_fam06;dis36;Female;caucasian;left;29;ac06t.jpg;ac36d.jpg;4
2;37;1;fem_fam07;dis37;Female;caucasian;right;157;ac07t.jpg;ac37d.jpg;22
2;38;2;fem_fam08;dis38;Female;caucasian;right;157;ac08t.jpg;ac38d.jpg;11
2;39;2;fem_fam09;dis39;Female;caucasian;left;29;ac09t.jpg;ac39d.jpg;3
2;40;2;fem_fam10;dis40;Female;caucasian;left;29;ac10t.jpg;ac40d.jpg;10
2;41;2;fem_fam11;dis41;Female;caucasian;right;157;ac11t.jpg;ac41d.jpg;27
2;42;2;fem_fam12;dis42;Female;caucasian;right;157;ac12t.jpg;ac42d.jpg;5
2;43;2;fem_fam13;dis43;Female;caucasian;left;29;ac13t.jpg;ac43d.jpg;14
2;44;2;fem_fam14;dis44;Female;caucasian;right;157;ac14t.jpg;ac44d.jpg;29
2;45;2;fem_fam15;dis45;Female;caucasian;right;157;ac15t.jpg;ac45d.jpg;7
2;46;1;mal_fam01;dis46;Male;caucasian;right;157;ac16t.jpg;ac46d.jpg;9
2;47;1;mal_fam02;dis47;Male;caucasian;left;29;ac17t.jpg;ac47d.jpg;17
2;48;1;mal_fam03;dis48;Male;caucasian;left;29;ac18t.jpg;ac48d.jpg;20
2;49;1;mal_fam04;dis49;Male;caucasian;right;157;ac19t.jpg;ac49d.jpg;19
2;50;1;mal_fam05;dis50;Male;caucasian;right;157;ac20t.jpg;ac50d.jpg;13
2;51;1;mal_fam06;dis51;Male;caucasian;left;29;ac21t.jpg;ac51d.jpg;16
2;52;1;mal_fam07;dis52;Male;caucasian;left;29;ac22t.jpg;ac52d.jpg;12
2;53;1;mal_fam08;dis53;Male;caucasian;right;157;ac23t.jpg;ac53d.jpg;24
2;54;2;mal_fam09;dis54;Male;caucasian;right;157;ac24t.jpg;ac54d.jpg;23
2;55;2;mal_fam10;dis55;Male;caucasian;left;29;ac25t.jpg;ac55d.jpg;25
2;56;2;mal_fam11;dis56;Male;caucasian;left;29;ac26t.jpg;ac56d.jpg;28
2;57;2;mal_fam12;dis57;Male;caucasian;right;157;ac27t.jpg;ac57d.jpg;2
2;58;2;mal_fam13;dis58;Male;caucasian;right;157;ac28t.jpg;ac58d.jpg;6
2;59;2;mal_fam14;dis59;Male;caucasian;left;29;ac29t.jpg;ac59d.jpg;21
2;60;2;mal_fam15;dis60;Male;caucasian;left;29;ac30t.jpg;ac60d.jpg;18
3;61;1;fem_fam01;dis61;Female;caucasian;right;157;ac01t.jpg;ac61d.jpg;1
3;62;1;fem_fam02;dis62;Female;caucasian;left;29;ac02t.jpg;ac62d.jpg;27
3;63;1;fem_fam03;dis63;Female;caucasian;right;157;ac03t.jpg;ac63d.jpg;12
3;64;1;fem_fam04;dis64;Female;caucasian;left;29;ac04t.jpg;ac64d.jpg;6
